== mika-milfy-11 (git HEAD) vs mika-milfy-12, per part: positions and skin weights
Acc_Bandage_Thigh    verts   3843  pos max diff   0.00mm  weights differ on     0 verts
Acc_Belt_Waist       verts   3994  pos max diff   0.00mm  weights differ on     0 verts
Acc_Crown            verts    400  pos max diff   0.00mm  weights differ on     0 verts
Acc_HairClip_Bars    verts     16  pos max diff   0.00mm  weights differ on     0 verts
Acc_HairClip_Bear    verts    190  pos max diff   0.00mm  weights differ on     0 verts
Acc_HairClip_Plaster verts    144  pos max diff   0.00mm  weights differ on     0 verts
Acc_Ribbon_Hair      verts    656  pos max diff   0.00mm  weights differ on     0 verts
Acc_Ribbon_Neck      verts   3375  pos max diff   0.00mm  weights differ on     0 verts
Acc_Ribbon_Waist     verts    530  pos max diff   0.00mm  weights differ on     0 verts
Body_Skin            verts   4648  pos max diff   0.00mm  weights differ on     0 verts
Face                 verts  20540  pos max diff   0.00mm  weights differ on     0 verts
Hair_Back            verts    771  pos max diff   0.00mm  weights differ on     0 verts
Hair_Bangs           verts    922  pos max diff   0.00mm  weights differ on     0 verts
Hair_Bun_L           verts     89  pos max diff   0.00mm  weights differ on     0 verts
Hair_Bun_R           verts     89  pos max diff   0.00mm  weights differ on     0 verts
Hair_Ear_L           verts    238  pos max diff   0.00mm  weights differ on     0 verts
Hair_Ear_R           verts    238  pos max diff   0.00mm  weights differ on     0 verts
Hair_Side_L          verts    480  pos max diff   0.00mm  weights differ on     0 verts
Hair_Side_R          verts    499  pos max diff   0.00mm  weights differ on     0 verts
Hair_Twintail_L      verts   3122  pos max diff   0.00mm  weights differ on     0 verts
Hair_Twintail_R      verts   3092  pos max diff   0.00mm  weights differ on     0 verts
Outfit_Bottom        verts  11324  pos max diff   0.00mm  weights differ on     0 verts
Outfit_Cardigan      verts   7868  pos max diff   0.00mm  weights differ on  7844 verts
Outfit_Shoes         verts  11424  pos max diff   0.00mm  weights differ on     0 verts
Outfit_Socks         verts   4902  pos max diff   0.00mm  weights differ on     0 verts
Outfit_Top           verts   6251  pos max diff   0.00mm  weights differ on  6058 verts
