frame     x       z      world y   projected   +6.3mm world   +6.3mm projected   difference
column   0.00  -0.08   1.5757   1.5894      1.5957         1.5960          0.30mm
column   0.00  -0.08   1.6647   1.6828      1.6891         1.6894          0.32mm
column   0.00   0.00   1.5757   1.5781      1.5844         1.5845          0.08mm
column   0.00   0.00   1.6647   1.6684      1.6747         1.6748          0.10mm
column   0.00   0.08   1.5757   1.5675      1.5738         1.5737          -0.12mm
column   0.00   0.08   1.6647   1.6549      1.6612         1.6611          -0.11mm
column   0.06  -0.08   1.5757   1.5894      1.5957         1.5960          0.30mm
column   0.06  -0.08   1.6647   1.6828      1.6891         1.6894          0.32mm
column   0.06   0.00   1.5757   1.5781      1.5844         1.5845          0.08mm
column   0.06   0.00   1.6647   1.6684      1.6747         1.6748          0.10mm
column   0.06   0.08   1.5757   1.5675      1.5738         1.5737          -0.12mm
column   0.06   0.08   1.6647   1.6549      1.6612         1.6611          -0.11mm
waistUp  0.00  -0.08   1.5757   1.5858      1.5921         1.5924          0.30mm
waistUp  0.00  -0.08   1.6647   1.6792      1.6855         1.6858          0.32mm
waistUp  0.00   0.00   1.5757   1.5772      1.5835         1.5836          0.07mm
waistUp  0.00   0.00   1.6647   1.6673      1.6736         1.6737          0.09mm
waistUp  0.00   0.08   1.5757   1.5692      1.5755         1.5753          -0.15mm
waistUp  0.00   0.08   1.6647   1.6563      1.6626         1.6624          -0.13mm
waistUp  0.06  -0.08   1.5757   1.5858      1.5921         1.5924          0.30mm
waistUp  0.06  -0.08   1.6647   1.6792      1.6855         1.6858          0.32mm
waistUp  0.06   0.00   1.5757   1.5772      1.5835         1.5836          0.07mm
waistUp  0.06   0.00   1.6647   1.6673      1.6736         1.6737          0.09mm
waistUp  0.06   0.08   1.5757   1.5692      1.5755         1.5753          -0.15mm
waistUp  0.06   0.08   1.6647   1.6563      1.6626         1.6624          -0.13mm
