family vroid-sample-b  file restCrownY 1.5757  this body 1.5820  fringe 0.0015
clip/frame              pan   transfer  +browser  +VRoid sim  top edge  waived to  headroom
peaceSign/waistUp       0.00  1.5554    1.5554      1.5708    1.8722           -     301.4mm
peaceSign/column        0.00  1.5656    1.5748      1.5748    1.6020           -      27.2mm
modelPose/waistUp       0.00  1.5806    1.5806      1.5920    1.8722           -     280.2mm
modelPose/column        0.00  1.5848    1.5848      1.5861    1.6020           -      15.9mm
spin/waistUp            0.00  1.6036    1.6036      1.6136    1.8722      1.8722     258.6mm
spin/column             0.00  1.6185    1.6185      1.6197    1.6020      1.6200       0.3mm
squat/column            0.00  1.6022    1.6022      1.6022    1.6020      1.6030       0.8mm
akimbo/waistUp          0.00  1.5915    1.5915      1.5915    1.8722           -     280.7mm
akimbo/column           0.00  1.6008    1.6008      1.6008    1.6020           -       1.2mm
playFingers/waistUp     0.00  1.5913    1.5913      1.6220    1.8722           -     250.2mm
playFingers/column      0.02  1.6006    1.6053      1.6143    1.6220           -       7.7mm
scratchHead/waistUp     0.00  1.5913    1.5913      1.6185    1.8722           -     253.7mm
scratchHead/column      0.02  1.6002    1.6068      1.6142    1.6220           -       7.8mm
idleLoop/waistUp        0.00  1.5898    1.5898      1.5898    1.8722      1.8722     282.4mm
idleLoop/column         0.00  1.6043    1.6043      1.6043    1.6020      1.6050       0.7mm
stretch/waistUp         0.00  1.8159    1.8159      1.8288    1.8722           -      43.4mm
dance/waistUp          -0.07  1.7078    1.7133      1.7244    1.8022           -      77.8mm
dance/column            0.14  1.7165    1.7276      1.7389    1.7420           -       3.1mm
