family vroid-sample-b  simulated on /avatar/mika-milfy-12.vrm  rest crown 1.5757
clip/frame            declared   derived   policy    range (mm)        crown    hipsLow   waived
peaceSign/waistUp       0.00      0.00   centre    -297.4..    54.7   1.5748   0.8225   -
peaceSign/column        0.00      0.00   least      -27.2..   392.5   1.5748   0.8225   -
modelPose/waistUp       0.00      0.00   centre    -280.2..    91.2   1.5920   0.8590   -
modelPose/column        0.00      0.00   least      -10.0..   429.0   1.5920   0.8590   -
spin/waistUp            0.00      0.00   centre    -252.5..    62.2   1.6197   0.8300   1.620
spin/column             0.00      0.00   least       -0.3..   400.0   1.6197   0.8300   1.620
squat/column            0.00      0.00   least       -7.1..   230.0   1.5959   0.6600   1.603
akimbo/waistUp          0.00      0.00   centre    -277.7..   113.9   1.5945   0.8817   -
akimbo/column           0.00      0.00   least       -7.5..   451.7   1.5945   0.8817   -
playFingers/waistUp     0.00      0.00   centre    -250.2..   114.1   1.6220   0.8819   -
playFingers/column      0.02      0.02   least       20.0..   451.9   1.6220   0.8819   -
scratchHead/waistUp     0.00      0.00   centre    -253.7..   109.8   1.6185   0.8776   -
scratchHead/column      0.02      0.02   least       16.5..   447.6   1.6185   0.8776   -
idleLoop/waistUp        0.00      0.00   centre    -274.2..   108.3   1.5980   0.8761   1.605
idleLoop/column         0.00      0.00   least       -7.0..   446.1   1.5980   0.8761   1.605
stretch/waistUp         0.00      0.00   centre     -43.4..   114.6   1.8288   0.8824   -
dance/waistUp          -0.07     -0.07   centre    -133.3..   -15.3   1.7389   0.7525   -
dance/column            0.14      0.14   least      136.9..   322.5   1.7389   0.7525   -
