
=== mika-pink.vrm   VRM 0   3 meshes, morph-bound: [0]
  mesh/prim                    verts     y range        morph  skinned to      offhuman underhead spring
  Face.baked#0                    386   1.31… 1.34    morph  head       100%       0%       0%      0%
  Face.baked#1                     74   1.35… 1.39    morph  head       100%       0%       0%      0%
  Face.baked#2                    260   1.35… 1.40    morph  head       100%       0%       0%      0%
  Face.baked#3                    150   1.35… 1.39    morph  head       100%       0%       0%      0%
  Face.baked#4                    110   1.38… 1.42    morph  head       100%       0%       0%      0%
  Face.baked#5                    122   1.36… 1.39    morph  leftEye     50%       0%       0%      0%
  Face.baked#6                    122   1.36… 1.39    morph  leftEye     50%       0%       0%      0%
  Face.baked#7                    588   1.29… 1.50    morph  head       100%       0%       0%      0%
  Face.baked#8                    192   1.34… 1.40    morph  head       100%       0%       0%      0%
  Face.baked#9                     50   1.36… 1.39    morph  head       100%       0%       0%      0%
  Body.baked#0                   2418   0.13… 1.34      -    leg         31%       9%       0%      9%
  Body.baked#1                    508   0.03… 0.14      -    foot        81%       0%       0%      0%
  Body.baked#2                   1580   1.18… 1.22      -    arm         19%       0%       0%      0%
  Body.baked#3                    142   1.33… 1.51      -    head       100%       0%       0%      0%
  Body.baked#4                   2256   0.21… 1.31      -    arm         36%       7%       0%      5%
  Body.baked#5                    742   0.70… 1.01      -    hips        45%      31%       0%     31%
  Body.baked#6                    552   0.00… 0.16      -    foot        78%       0%       0%      0%
  Hair001.baked#0                  96   1.27… 1.52      -    head        53%      47%      47%     19%
  Hair001.baked#1                  99   1.27… 1.52      -    head        55%      45%      45%     18%
  Hair001.baked#2                  76   1.46… 1.52      -    head       100%       0%       0%      0%
  Hair001.baked#3                  71   1.46… 1.52      -    head       100%       0%       0%      0%
  Hair001.baked#4                  93   1.28… 1.52      -    head        55%      45%      45%     19%
  Hair001.baked#5                  93   1.28… 1.52      -    head        55%      45%      45%     23%
  Hair001.baked#6                  32   1.34… 1.48      -    head        53%      47%      47%     41%
  Hair001.baked#7                  28   1.31… 1.44      -    head        18%      82%      82%     50%
  Hair001.baked#8                  34   1.42… 1.44      -    head        21%      79%      79%     79%
  Hair001.baked#9                  14   1.36… 1.42      -    head       100%       0%       0%      0%
  Hair001.baked#10                 14   1.34… 1.37      -    head       100%       0%       0%      0%
  Hair001.baked#11                 16   1.34… 1.36      -    head       100%       0%       0%      0%
  Hair001.baked#12                 12   1.38… 1.39      -    head       100%       0%       0%      0%
  Hair001.baked#13                 10   1.39… 1.40      -    head       100%       0%       0%      0%
  Hair001.baked#14                 10   1.38… 1.40      -    head       100%       0%       0%      0%
  Hair001.baked#15                 39   1.46… 1.52      -    head       100%       0%       0%      0%
  Hair001.baked#16                 30   1.46… 1.50      -    head       100%       0%       0%      0%
  Hair001.baked#17                 24   1.43… 1.48      -    head       100%       0%       0%      0%
  Hair001.baked#18                 28   1.40… 1.47      -    head       100%       0%       0%      0%
  Hair001.baked#19                 57   1.39… 1.52      -    head        70%      30%      30%     30%
  Hair001.baked#20                 54   1.39… 1.52      -    head        70%      30%      30%     30%
  Hair001.baked#21                 63   1.39… 1.52      -    head        71%      29%      29%     29%
  Hair001.baked#22                101   1.39… 1.52      -    head        72%      28%      28%     28%
  Hair001.baked#23                 57   1.39… 1.52      -    head        74%      26%      26%     26%
  Hair001.baked#24                106   1.39… 1.52      -    head        74%      26%      26%     26%
  Hair001.baked#25                106   1.39… 1.52      -    head        83%      17%      17%     17%
  Hair001.baked#26                 54   1.39… 1.52      -    head        72%      28%      28%     28%
  Hair001.baked#27                 99   1.24… 1.48      -    head        32%      68%      68%     23%
  Hair001.baked#28                 93   1.27… 1.47      -    head        35%      65%      65%     24%
  Hair001.baked#29                458   0.78… 1.47      -    head        21%      79%      79%     15%
  Hair001.baked#30                458   0.78… 1.47      -    head        21%      79%      79%     15%
  Hair001.baked#31                464   0.77… 1.47      -    head        20%      80%      80%     14%
  Hair001.baked#32                482   0.75… 1.48      -    head        21%      79%      79%     14%
  Hair001.baked#33                 14   1.31… 1.36      -    head       100%       0%       0%      0%
  Hair001.baked#34                 26   1.38… 1.40      -    head       100%       0%       0%      0%
  Hair001.baked#35                 26   1.38… 1.39      -    head       100%       0%       0%      0%
  Hair001.baked#36                 26   1.38… 1.41      -    head        12%      88%      88%     88%
  Hair001.baked#37                 22   1.35… 1.38      -    -            0%     100%     100%     95%
  Hair001.baked#38                 84   1.29… 1.47      -    head        37%      63%      63%     26%
  Hair001.baked#39                 93   1.25… 1.47      -    head        38%      62%      62%     24%
  Hair001.baked#40                102   1.24… 1.48      -    head        32%      68%      68%     24%
  Hair001.baked#41                 99   1.26… 1.47      -    head        35%      65%      65%     22%
  Hair001.baked#42                 84   1.28… 1.47      -    head        32%      68%      68%     27%
  Hair001.baked#43                 87   1.25… 1.47      -    head        37%      63%      63%     25%
  Hair001.baked#44                 51   1.46… 1.56      -    head        33%      67%      67%     20%
  Hair001.baked#45                 48   1.47… 1.57      -    head        35%      65%      65%     29%
  Hair001.baked#46                 51   1.45… 1.56      -    head        29%      71%      71%     53%
  Hair001.baked#47                 48   1.47… 1.58      -    head        29%      71%      71%     12%
  Hair001.baked#48                  8   1.32… 1.34      -    head       100%       0%       0%      0%
  Hair001.baked#49                 16   1.33… 1.36      -    head       100%       0%       0%      0%
  Hair001.baked#50                 20   1.34… 1.35      -    head       100%       0%       0%      0%
  Hair001.baked#51                 71   1.47… 1.51      -    head       100%       0%       0%      0%
  Hair001.baked#52                 30   1.46… 1.52      -    head       100%       0%       0%      0%
  Hair001.baked#53                 48   1.45… 1.50      -    head       100%       0%       0%      0%
  Hair001.baked#54                 33   1.39… 1.44      -    head       100%       0%       0%      0%
  Hair001.baked#55                 30   1.46… 1.50      -    head       100%       0%       0%      0%
  Hair001.baked#56                 30   1.46… 1.52      -    head       100%       0%       0%      0%
  Hair001.baked#57                 42   1.46… 1.52      -    head       100%       0%       0%      0%
  Hair001.baked#58                 71   1.46… 1.52      -    head       100%       0%       0%      0%
  Hair001.baked#59                 66   1.47… 1.52      -    head       100%       0%       0%      0%
  Hair001.baked#60                 71   1.47… 1.51      -    head       100%       0%       0%      0%
  Hair001.baked#61                 48   1.45… 1.50      -    head       100%       0%       0%      0%
  Hair001.baked#62                 24   1.43… 1.48      -    head       100%       0%       0%      0%
  Hair001.baked#63                 28   1.40… 1.47      -    head       100%       0%       0%      0%
  Hair001.baked#64                 33   1.39… 1.44      -    head       100%       0%       0%      0%
  Hair001.baked#65                 99   1.27… 1.52      -    head        55%      45%      45%     18%
  Hair001.baked#66                 24   1.43… 1.54      -    head        25%      75%      75%     71%
  Hair001.baked#67                386   0.87… 1.42      -    head        19%      81%      81%     19%
  Hair001.baked#68                446   0.82… 1.45      -    head        20%      80%      80%     16%
  Hair001.baked#69                428   0.81… 1.45      -    head        20%      80%      80%     17%
  Hair001.baked#70                446   0.80… 1.47      -    head        23%      77%      77%     15%
  Hair001.baked#71                458   0.78… 1.47      -    head        21%      79%      79%     15%
  Hair001.baked#72                464   0.77… 1.47      -    head        21%      79%      79%     14%
  Hair001.baked#73                482   0.75… 1.48      -    head        21%      79%      79%     14%
  Hair001.baked#74                386   0.86… 1.42      -    head        20%      80%      80%     19%
  Hair001.baked#75                434   0.83… 1.45      -    head        22%      78%      78%     16%
  Hair001.baked#76                422   0.82… 1.45      -    head        21%      79%      79%     17%

=== alicia-solid.vrm   VRM 0   12 meshes, morph-bound: [7, 10]
  mesh/prim                    verts     y range        morph  skinned to      offhuman underhead spring
  body_top.baked#0                575   1.04… 1.30      -    chest       63%       0%       0%      0%
  body_top.baked#1                416   1.00… 1.29      -    chest      100%       0%       0%      0%
  body_top.baked#2               3813   1.05… 1.31      -    arm         32%       8%       0%      0%
  body_under.baked#0             1322  -0.00… 1.07      -    foot        48%       0%       0%      0%
  body_under.baked#1             1140   0.01… 0.81      -    leg         68%       0%       0%      0%
  cloth.baked#0                  1166   0.79… 1.07      -    chest        2%      98%       0%     19%
  cloth1.baked#0                  694   0.79… 1.01      -    -            0%     100%       0%     11%
  cloth2.baked#0                  432   0.82… 0.95      -    -            0%     100%       0%     30%
  cloth_ribbon.baked#0           2330   0.84… 0.91      -    -            0%     100%       0%      0%
  eye.baked#0                     278   1.37… 1.41      -    leftEye     50%       0%       0%      0%
  face.baked#0                   1616   1.30… 1.50    morph  head        91%       9%       9%      0%
  face.baked#1                    124   1.37… 1.41    morph  head       100%       0%       0%      0%
  face.baked#2                    154   1.39… 1.41    morph  head       100%       0%       0%      0%
  flonthair.baked#0              3904   0.60… 1.55      -    head        30%      70%      70%      7%
  flonthair.baked#1               264   1.40… 1.46      -    -            0%     100%     100%     11%
  flonthair.baked#2              1035   1.34… 1.65      -    head        48%      52%      52%     52%
  flonthair.baked#3                45   1.39… 1.50      -    head       100%       0%       0%      0%
  neck.baked#0                   1737   1.27… 1.32      -    head       100%       0%       0%      0%
  other.baked#0                   552   1.36… 1.47    morph  head       100%       0%       0%      0%
  other02.baked#0                  26   1.36… 1.38      -    head       100%       0%       0%      0%
